"Program","What It Is","Money Direction","Participant Pay or Cost 2026","Referral / Partner Economics","Location","Duration","Stage","Selectivity","Status 2026","Source"
"AmeriCorps NCCC — Traditional Corps","10-month team-based national service for adults 18-24; crews deploy to nonprofits, federal agencies, and disaster sites for environmental stewardship, infrastructure, and community development.","YOU GET PAID","Modest living allowance (AmeriCorps states 'equivalent of ~$12.60/hr' for NCCC package in 2023; FY2026 exact dollar unverified) + communal housing + meals + travel covered + limited health benefit + Segal Education Award of ~$7,395 upon completion. End-of-service cash stipend alternative ~$1,800.","None — direct application only (americorps.gov). No recruiter commission or referral bonus.","Nationwide, deployed from campuses in Sacramento CA and Aurora CO","10-11 months","Gap year / post-high school or post-college","Moderate; ~500 volunteers per year total across all NCCC tracks","ACTIVE — accepting applications for FEMA Corps (apply July-Oct 2026), Forest Corps (Nov 2026-Mar 2027), Traditional Corps (Mar-Jun 2027). Program survived 2025 AmeriCorps funding cuts; NCCC FEMA Corps members were briefly demobilized in 2025 but program restored under FY2026 Consolidated Appropriations Act (P.L. 119-75, Feb 2026).","https://www.americorps.gov/serve/americorps/americorps-nccc"
"AmeriCorps NCCC — FEMA Corps","Specialized 10-month track within NCCC; members work alongside FEMA staff on disaster preparedness, mitigation, response, and recovery. Must be U.S. citizen.","YOU GET PAID","Same NCCC compensation package as Traditional Corps: living allowance (FY2026 exact dollar unverified; compensation package equivalent approx. $12.60/hr per 2023 data) + communal housing + meals + all program travel + limited health benefit + Segal Education Award ~$7,395 upon completion.","None — direct application only.","Nationwide; may train at FEMA Emergency Training Center (Emmitsburg MD) or FEMA Incident Workforce Academy (Anniston AL)","10-11 months","Gap year / post-high school or post-college","Moderate; subset of 500 total NCCC slots","ACTIVE — applications open July 1 – Oct 19, 2026; service Jan/Feb – Nov 2027.","https://www.americorps.gov/serve/americorps/americorps-nccc"
"AmeriCorps NCCC — Forest Corps","10-month NCCC track partnered with the U.S. Forest Service; crews work on wildfire risk mitigation, fuels reduction, reforestation, and resource management. Must be U.S. citizen.","YOU GET PAID","Same NCCC compensation package: living allowance (FY2026 exact dollar unverified) + communal housing + meals + travel + limited health benefit + Segal Education Award ~$7,395 upon completion.","None — direct application only.","Nationwide federal forest lands","10-11 months","Gap year / post-high school or post-college","Moderate; subset of 500 total NCCC slots","ACTIVE — applications open Nov 2026 – Mar 2027; service May/June 2027 – Apr 2028.","https://www.americorps.gov/serve/americorps/americorps-nccc"
"AmeriCorps VISTA","One-year anti-poverty capacity-building program; members serve full-time with nonprofits and public agencies to expand program capacity, not deliver direct service. Placements nationwide.","YOU GET PAID","Living allowance based on 105% of federal poverty level for single person in service area (varies by county; e.g., one Michigan listing showed $1,119/biweekly pre-tax ≈ $29,100/yr) + upon completion: Segal Education Award $7,395 OR cash stipend ~$1,800 (choose one). Health insurance, student loan forbearance with interest paid, childcare assistance if eligible.","None — direct application through My AmeriCorps portal.","Nationwide, 50 states + territories","1 year (full-year) or 10 weeks (Summer Associate)","Gap year / post-college","Low-moderate; many openings posted year-round","ACTIVE — program operating. Note: ~80% of AmeriCorps State & National grants were terminated April 2025 but courts ordered restoration and FY2026 Consolidated Appropriations Act (P.L. 119-75) restored funding. VISTA grants were separately maintained and less disrupted.","https://www.americorps.gov/members-volunteers/vista/benefits"
"AmeriCorps State & National (general)","Federal grants fund hundreds of nonprofit programs that place AmeriCorps members in community service roles across education, disaster, economic opportunity, veterans, and environment focus areas.","YOU GET PAID","FY2026 minimum full-time living allowance: $20,400/yr ($12/hr) per FY2025 policy (FY2026 rate unverified from AmeriCorps.gov directly; FY2025 set at $20,400). Maximum living allowance up to $33,200+/yr depending on program/location. Segal Education Award $7,395–$7,397 upon full-term completion. Health insurance for full-time members.","None for participants — direct application. Individual grantee organizations sometimes hire campus recruiters (paid staff positions) but no commission paid to outside referrers.","Nationwide, 50 states + territories","10-12 months (full-time); shorter part-time options","Gap year / post-high school or post-college","Varies by program; overall thousands of openings annually","ACTIVE WITH CAUTION — approximately 41% of AmeriCorps grants were terminated April 25, 2025 by Trump administration. Federal court injunctions (June 2025) and FY2026 Consolidated Appropriations Act (P.L. 119-75, Feb 2026) restored substantial funding. Program operating in FY2026 but future uncertain; Trump FY2027 budget proposed eliminating AmeriCorps entirely.","https://www.americorps.gov/funding-opportunity/fy-2026-americorps-state-national-grants"
"City Year (AmeriCorps State & National operator)","AmeriCorps operator placing full-time corps members as student success coaches in high-need urban K-12 schools across 29 U.S. cities; 11-month term, 1,700 service hours.","YOU GET PAID","Biweekly living stipend (pre-tax) varies by city for 2025-2026 school year: $907 (Columbia SC/New Hampshire) to $1,386 (Bay Area) biweekly. Annualized range approx. $23,600-$36,000/yr. Plus: health/dental/vision insurance, $500 relocation allowance (50+ miles), Segal Education Award $7,397 upon completion, student loan forbearance, childcare if eligible.","None — direct application at cityyear.org. No affiliate or recruiter commission.","29 cities nationwide including Boston, Chicago, Los Angeles, New York, Miami, Sacramento, Seattle, Washington DC, and more","11 months (Aug-June, school year)","Gap year / post-high school or post-college","Moderate; several thousand corps members annually","ACTIVE — City Year confirmed operating for 2025-2026 year with full stipend tables posted.","https://www.cityyear.org/experience/benefits-resources/compensation/"
"Teach For America","2-year paid teaching corps; corps members are hired as full-time teachers by partner school districts and charter networks in low-income communities. Not an AmeriCorps stipend program — members earn a teacher salary.","YOU GET PAID","District salary of $32,000-$72,000/yr depending on region (paid by school district). TFA also provides: summer training living stipend $3,000-$6,500, need-based grants and loans, access to grad school scholarships. No Segal Education Award (not AmeriCorps-linked).","None for outside referrers. TFA operates a campus recruiting infrastructure with paid TFA staff; no commission to external counselors or agents.","50+ regions nationwide in high-need communities","2 years (minimum commitment)","Post-college (most corps members are recent graduates; some career changers)","Selective; ~12-15% acceptance rate reported historically","ACTIVE — continuing operations.","https://www.teachforamerica.org/corps/salary-and-benefits"
"Public Allies (AmeriCorps State & National operator)","10-month AmeriCorps apprenticeship program placing young adults 18-30 at nonprofit organizations 4 days/week plus weekly leadership training. 1,700 service hours. $6.6M AmeriCorps grant announced July 2026 for 288 apprenticeships.","YOU GET PAID","$22,000 total living stipend (taxable) over 10-month full-time term (confirmed for 2025-2026 at Pittsburgh site). Part-time: $8,500. Plus: health care, child care subsidy, monthly bus pass, Segal Education Award $7,395 upon completion, student loan forbearance.","None — direct application at publicallies.org.","Multiple cities nationwide (Milwaukee, Chicago, Cincinnati, Albuquerque, and others); 288 positions in FY2026 grant","10 months","Gap year / post-high school or early career","Moderate","ACTIVE — received $6.6M AmeriCorps grant July 2026 to place 288 apprentices.","https://publicallies.org/be-an-ally/"
"College Possible (AmeriCorps State & National operator)","AmeriCorps program placing coaches in high schools and colleges to help low-income students prepare for and succeed in college. 2026-2027 service year starts August 2026.","YOU GET PAID","Full-time First-Year Coach: $23,040/yr ($1,001.74 biweekly) in some locations; $25,800/yr ($1,121.73 biweekly) in other locations. Three-quarter-time: ~$20,900-$23,000/yr. Plus: education award (Segal), healthcare. Final 2026-2027 compensation to be posted Jan 2027.","None — direct application at collegepossible.org.","Minnesota (Twin Cities), Oregon (Portland), Wisconsin (Milwaukee), Nebraska (Omaha), Pennsylvania (Philadelphia), and other states","10-11 months (school year)","Gap year / post-college","Moderate","ACTIVE — Note: College Possible Philadelphia closed during 2025 AmeriCorps funding chaos; other sites confirmed operating.","https://collegepossible.org/americorps/"
"Reading Partners (AmeriCorps State & National operator)","AmeriCorps program placing full-time literacy intervention coordinators and community engagement leads in elementary school reading centers across 10+ states. Members tutor students and manage volunteer tutors.","YOU GET PAID","Living allowance varies by region: approx. $22,100 (Tulsa, SC) to $28,100 (NYC, SF Bay Area, Silicon Valley) for the service year (2023-24 figures; 2026 unverified). Plus: $500 mid-year bonus + $3,000 end-of-year bonus + medical/dental/vision + transit reimbursement $127/mo + Segal Education Award ~$7,395.","None — direct application at readingpartners.org.","Washington DC, Maryland, New Jersey, California, Texas, Minnesota, Washington state, Oklahoma, South Carolina, New York, Colorado","~11 months (Aug-July)","Gap year / post-high school or post-college","Low-moderate; ~350+ members per year","ACTIVE — program continued operating through 2025 funding disruptions.","https://readingpartners.org/get-involved/americorps/"
